"","id","osm_id","pct_census"
"2570",2570,"121300281",0
"2571",2571,"121300282",0
"2572",2572,"121300287",0
"2573",2573,"121300290",0
"2574",2574,"121300296",0
"2575",2575,"121300304",0
"2576",2576,"121300311",0
"2577",2577,"121300312",0
"2578",2578,"121300315",0
"2579",2579,"121300320",0
"2580",2580,"121300322",0
"2581",2581,"121300326",0
"2582",2582,"121300327",0
"2583",2583,"121300330",0
"2584",2584,"121300332",0
"2585",2585,"121300342",0
"2586",2586,"121300343",0
"2587",2587,"121300347",0
"2588",2588,"121300349",0
"2589",2589,"121300351",0
"2590",2590,"121300356",0
"2591",2591,"121300359",0
"2592",2592,"121300360",0
"2593",2593,"121300362",0
"2594",2594,"121300371",0
"2595",2595,"121300372",0
"2596",2596,"121300380",0
"2597",2597,"121300381",0
"2598",2598,"121300382",0
"2599",2599,"121300383",0
"2600",2600,"121300384",0
"2601",2601,"121300385",0
"2602",2602,"121300386",0
"2603",2603,"121300388",0
"2604",2604,"121300392",0
"2605",2605,"121300395",0
"2606",2606,"121300398",0
"2607",2607,"121300405",0
"2608",2608,"121300416",0
"2609",2609,"121300422",0
"2610",2610,"121300425",0
"2611",2611,"121300429",0
"2612",2612,"121300432",0
"2613",2613,"121300435",0
"2614",2614,"121300438",0
"2615",2615,"121300448",0
"2616",2616,"121300449",0
"2617",2617,"121300451",0
"2618",2618,"121300453",0
"2619",2619,"121300459",0
"2620",2620,"121300461",0
"2621",2621,"121300462",0
"2622",2622,"121300463",0
"2623",2623,"121300468",0
"2624",2624,"121300473",0
"2625",2625,"121300476",0
"2626",2626,"121300480",0
"2627",2627,"121300482",0
"2628",2628,"121300484",0
"2629",2629,"121300487",0
"2630",2630,"121300491",0
"2631",2631,"121300493",0
"2632",2632,"121300494",0
"2633",2633,"121300495",0
"2634",2634,"121300500",0
"2635",2635,"121300511",0
"2636",2636,"121300512",0
"2637",2637,"121300513",0
"2638",2638,"121300517",0
"2639",2639,"121300518",0
"2640",2640,"121300520",0
"2641",2641,"121300523",0
"2642",2642,"121300525",0
"2643",2643,"121300529",0
"2644",2644,"121300534",0
"2645",2645,"121300538",0
"2646",2646,"121300541",0
"2647",2647,"121300542",0
"2648",2648,"121300543",0
"2649",2649,"121300552",0
"2650",2650,"121300562",0
"2651",2651,"121300565",0
"2652",2652,"121300568",0
"2653",2653,"121300574",0
"2654",2654,"121300577",0
"2655",2655,"122104726",0
"2656",2656,"122104728",0
"2657",2657,"122104730",0
"2658",2658,"122106959",0
"2659",2659,"122106964",0
"2660",2660,"122106965",0
"2661",2661,"122106967",0
"2662",2662,"122106969",0
"2663",2663,"122106972",0
"2664",2664,"122106973",0
"2665",2665,"122106975",0
"2666",2666,"122106976",0
"2667",2667,"122106978",0
"2668",2668,"122106979",0
"2669",2669,"122106983",0
"2670",2670,"122106984",0
"2671",2671,"122106988",0
"2672",2672,"122106989",8
"2673",2673,"122106992",0
"2674",2674,"122106996",0
"2675",2675,"122106997",0
"2676",2676,"122106998",0
"2677",2677,"122107000",0
"2678",2678,"122110234",0
"2679",2679,"122110236",0
"2680",2680,"122110240",0
"2681",2681,"122110251",0
"2682",2682,"122727790",0
"2683",2683,"122941318",0
"2684",2684,"123474941",0
"2685",2685,"124104730",0
"2686",2686,"124104731",0
"2687",2687,"124104733",0
"2688",2688,"124104746",0
"2689",2689,"124104810",0
"2690",2690,"124104886",0
"2691",2691,"124642288",0
"2692",2692,"124645699",758
"2693",2693,"125100213",0
"2694",2694,"125100214",0
"2695",2695,"125100215",0
"2696",2696,"125100218",0
"2697",2697,"125100219",0
"2698",2698,"125100220",0
"2699",2699,"125100221",0
"2700",2700,"125100222",0
"2701",2701,"125100223",0
"2702",2702,"125100224",0
"2703",2703,"125100225",0
"2704",2704,"125100226",0
"2705",2705,"125100231",0
"2706",2706,"125100236",0
"2707",2707,"125100237",0
"2708",2708,"125100242",0
"2709",2709,"125100249",0
"2710",2710,"125100251",0
"2711",2711,"125100254",0
"2712",2712,"125100255",0
"2713",2713,"125100258",0
"2714",2714,"125100259",0
"2715",2715,"125100264",0
"2716",2716,"125100268",0
"2717",2717,"125100269",0
