"","id","osm_id","name","bicycle","cyclestreets_id","cycleway","cycleway.left","cycleway.left.width","cycleway.oneside.width","cycleway.otherside","cycleway.otherside.width","cycleway.right","cycleway.right.width","designation","foot","footway","highway","junction","maxspeed"
"21568",21568,"165370604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steps",NA,NA
"21569",21569,"165370605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21570",21570,"165370605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21571",21571,"165370605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21572",21572,"165468214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21573",21573,"165468214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21574",21574,"165468215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21575",21575,"165468215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21576",21576,"165503468","Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unclassified",NA,"20 mph"
"21577",21577,"165503468","Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unclassified",NA,"20 mph"
"21578",21578,"165503468","Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unclassified",NA,"20 mph"
"21579",21579,"165503468","Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unclassified",NA,"20 mph"
"21580",21580,"165510878",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","pavement","cycleway",NA,NA
"21581",21581,"165510878",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","pavement","cycleway",NA,NA
"21582",21582,"165513407",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"path",NA,NA
"21583",21583,"165513407",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"path",NA,NA
"21584",21584,"165513407",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"path",NA,NA
"21585",21585,"165546945","Gunhild Way",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"21586",21586,"165546945","Gunhild Way",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"21587",21587,"165546945","Gunhild Way",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"21588",21588,"165737366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21589",21589,"165737366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21590",21590,"165737369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21591",21591,"165737369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21592",21592,"165737370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
